"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4441","wrong password shows ""Invalid credentials""","webkit","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","378","@checkbox checkbox: check, assert, uncheck","firefox","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
"","9983","TC-07 open Admin module","firefox","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","29810","E2E: add employee, make admin, verify, delete","webkit","2026-07-20","passed","2026-07-20","","e2e-employee.spec.ts","",""
"","6050","wrong password shows ""Invalid credentials""","firefox","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","9071","TC-10 search non-existent user shows No Records Found","firefox","2026-07-20","passed","2026-07-20","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","4006","empty fields show ""Required"" validation","firefox","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","5575","TC-08 open PIM module","webkit","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","17085","upload a file","webkit","2026-07-20","passed","2026-07-20","","upload-download.spec.ts","",""
"","826","@checkbox checkbox: check, assert, uncheck","webkit","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
