"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","time reference endpoint is reachable","api","2026-07-21","skipped","2026-07-21","E2E [API] — Timesheet Submission & Approval","tests/e2e/timesheet-approval.api.e2e.spec.ts","",""
"","0","hire an employee, verify, update, grant access, then offboard","api","2026-07-21","skipped","2026-07-21","E2E [API] — Employee Lifecycle","tests/e2e/employee-lifecycle.api.e2e.spec.ts","",""
"","7849","API login → save storageState","setup","2026-07-21","failed","2026-07-21","","auth.setup.ts","",""
"","0","offboarded employee cannot log in and is excluded from the active list","api","2026-07-21","skipped","2026-07-21","E2E [API] — Employee Termination / Offboarding","tests/e2e/employee-termination.api.e2e.spec.ts","",""
"","0","leave reference endpoints are reachable","api","2026-07-21","skipped","2026-07-21","E2E [API] — Leave Request & Approval","tests/e2e/leave-request-approval.api.e2e.spec.ts","",""
"","0","ESS is limited, Admin is not, and a disabled user cannot log in","api","2026-07-21","skipped","2026-07-21","E2E [API] — RBAC Permission Boundary","tests/e2e/rbac-permission-boundary.api.e2e.spec.ts","",""
"","0","attendance records endpoint is reachable","api","2026-07-21","skipped","2026-07-21","E2E [API] — Attendance Punch Cycle","tests/e2e/attendance-punch-cycle.api.e2e.spec.ts","",""
